Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bangladesh,132383265,134729503,137006279,139185986,141235035,143135180,144868702,146457067,147969967,149503100,151125475
Brazil,174504898,176968205,179393768,181752951,184010283,186142403,188134315,189996976,191765567,193490922,195210154
Canada,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274
China,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000
Colombia,39897984,40558648,41216304,41872051,42527623,43184026,43841370,44498390,45153037,45802561,46444798
Ethiopia,66024199,67956866,69948344,71989666,74066147,76167240,78290649,80440708,82621190,84838032,87095281
France,60911057,61355725,61803229,62242474,62702121,63176246,63617975,64012572,64371099,64702921,65023142
Germany,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930
India,1042261758,1059500888,1076705723,1093786762,1110626108,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648
Indonesia,208938698,211970371,215038285,218145617,221293797,224480901,227709821,230972808,234243489,237486894,240676485
Italy,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417
Japan,126870000,127149000,127445000,127718000,127761000,127773000,127756000,127770750,127704040,127557958,127450459
Mexico,103873607,105339877,106723661,108056312,109381550,110731826,112116694,113529819,114968039,116422752,117886404
Nigeria,122876727,126004992,129224641,132550146,135999250,139585891,143314909,147187353,151208080,155381020,159707780
Pakistan,143832014,146857081,149693684,152419974,155151394,157971415,160905794,163928329,167008083,170093999,173149306
Philippines,77651848,79297756,80953652,82604681,84231329,85821214,87366573,88875548,90371287,91886400,93444322
Russia,146596870,145976473,145408033,144667468,143821212,143113885,142487260,142114903,141956409,141909244,142385523
South Africa,44000000,44909738,45808736,46409243,47019452,47639556,48269753,48910248,49561256,50222996,50895698
Spain,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897
Thailand,62343379,63069070,63797841,64488338,65087400,65559487,65883961,66076927,66185340,66277335,66402316
Turkey,63174483,64100297,65022300,65938265,66845635,67743052,68626337,69496513,70363511,71241080,72137546
Ukraine,49175848,48683865,48202500,47812950,47451600,47105150,46787750,46509350,46258200,46053300,45870700
United Kingdom,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365
United States,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326295
Vietnam,77630900,78621000,79538700,80468400,81437700,82393500,83313000,84221100,85122300,86025000,86932500
